real complex
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 0.000000]
[0.000000 -0.000031]
[0.000000 0.000031]
[0.000000 -0.000031]
[0.000000 0.000061]
[0.000000 -0.000061]
[0.000000 0.000122]
[0.000031 -0.000153]
[-0.000031 0.000336]
[0.000092 -0.001282]
[0.000122 -0.006744]
[0.000031 -0.006561]
[0.000092 -0.006836]
[0.000183 -0.006653]
[0.000122 -0.006744]
[0.000122 -0.006653]
[0.000153 -0.006683]
[0.000214 -0.006622]
[0.000153 -0.006531]
[0.000122 -0.006561]
[0.000183 -0.006561]
[0.000031 -0.006653]
[0.000061 -0.006622]
[0.000031 -0.006622]
[0.000122 -0.006592]
[0.000092 -0.006653]
[0.000214 -0.006714]
[0.000153 -0.006592]
[0.000153 -0.006531]
[0.000183 -0.006714]
[0.000214 -0.006531]
[0.000031 -0.006531]
[0.000153 -0.006592]
[0.000275 -0.006561]
[0.000153 -0.006622]
[0.000214 -0.006622]
[0.000061 -0.006683]
[0.000092 -0.006592]
[0.000214 -0.006683]
[0.000275 -0.006714]
[0.000092 -0.006622]
[0.000183 -0.006561]
[0.000244 -0.006531]
[0.000183 -0.006653]
[0.000275 -0.006531]
[0.000153 -0.006592]
[0.000244 -0.006714]
[0.000183 -0.006653]
[0.000183 -0.006622]
[0.000153 -0.006592]
[0.000122 -0.006683]
[0.000183 -0.006714]
[0.000183 -0.006653]
[0.000275 -0.006500]
[0.000153 -0.006683]
[0.000275 -0.006561]
[0.000244 -0.006592]
[0.000275 -0.006683]
[0.000244 -0.006653]
[0.000275 -0.006714]
[0.000366 -0.006531]
[0.000244 -0.006531]
[0.000244 -0.006683]
[0.000092 -0.006714]
[0.000214 -0.006592]
[0.000214 -0.006561]
[0.000244 -0.006622]
[0.000183 -0.006439]
[0.000244 -0.006683]
[0.000214 -0.006744]
[0.000305 -0.006531]
[0.000244 -0.006561]
[0.000305 -0.006592]
[0.000122 -0.006500]
[0.000183 -0.006775]
[0.000275 -0.006622]
[0.000275 -0.006683]
[0.000275 -0.006561]
[0.000122 -0.006683]
[0.000275 -0.006744]
[0.000244 -0.006500]
[0.000366 -0.006683]
[0.000153 -0.006622]
[0.000366 -0.006622]
[0.000183 -0.006805]
[0.000305 -0.006714]
[0.000214 -0.006653]
[0.000244 -0.006653]
[0.000305 -0.006653]
[0.000275 -0.006622]
[0.000244 -0.006622]
[0.000275 -0.006531]
[0.000366 -0.006622]
[0.000275 -0.006683]
[0.000183 -0.006622]
[0.000336 -0.006775]
[0.000275 -0.006653]
[0.000305 -0.006683]
[0.000366 -0.006714]
[0.000305 -0.006683]
[0.000336 -0.006714]
[0.000183 -0.006683]
[0.000275 -0.006683]
[0.000244 -0.006653]
[0.000275 -0.006653]
[0.000305 -0.006592]
[0.000305 -0.006683]
[0.000336 -0.006592]
[0.000092 -0.006622]
[0.000244 -0.006653]
[0.000183 -0.006592]
[0.000427 -0.006592]
[0.000305 -0.006622]
[0.000305 -0.006561]
[0.000214 -0.006653]
[0.000183 -0.006531]
[0.000305 -0.006683]
[0.000366 -0.006622]
[0.000366 -0.006592]
[0.000092 -0.006592]
[0.000153 -0.006653]
[0.000305 -0.006653]
[0.000336 -0.006683]
[0.000336 -0.006714]
[0.000244 -0.006683]
[0.000244 -0.006592]
[0.000214 -0.006561]
[0.000305 -0.006561]
[0.000488 -0.006653]
[0.000305 -0.006683]
[0.000519 -0.006714]
[0.000458 -0.006714]
[0.000610 -0.006500]
[0.000458 -0.006683]
[0.000275 -0.006592]
[0.000214 -0.006714]
[0.000275 -0.006531]
[0.000397 -0.006531]
[0.000305 -0.006622]
[0.000366 -0.006531]
[0.000336 -0.006592]
[0.000305 -0.006622]
[0.000458 -0.006592]
[0.000305 -0.006561]
[0.000397 -0.006653]
[0.000427 -0.006561]
[0.000427 -0.006531]
[0.000427 -0.006775]
[0.000458 -0.006622]
[0.000305 -0.006622]
[0.000305 -0.006775]
[0.000519 -0.006622]
[0.000183 -0.006775]
[0.000244 -0.006683]
[0.000458 -0.006653]
[0.000366 -0.006592]
[0.000275 -0.006714]
[0.000305 -0.006714]
[0.000275 -0.006500]
[0.000458 -0.006592]
[0.000336 -0.006683]
[0.000244 -0.006500]
[0.000366 -0.006531]
[0.000336 -0.006714]
[0.000427 -0.006683]
[0.000427 -0.006622]
[0.000427 -0.006592]
[0.000305 -0.006653]
[0.000305 -0.006683]
[0.000366 -0.006683]
[0.000305 -0.006775]
[0.000458 -0.006683]
[0.000610 -0.006561]
[0.000549 -0.006561]
[0.000366 -0.006592]
[0.000397 -0.006683]
[0.000458 -0.006531]
[0.000427 -0.006622]
[0.000488 -0.006622]
[0.000397 -0.006744]
[0.000397 -0.006622]
[0.000427 -0.006683]
[0.000397 -0.006500]
[0.000153 -0.006622]
[0.000366 -0.006714]
[0.000427 -0.006714]
[0.000488 -0.006683]
[0.000336 -0.006531]
[0.000336 -0.006744]
[0.000305 -0.006714]
[0.000275 -0.006714]
[0.000366 -0.006653]
[0.000397 -0.006592]
[0.000305 -0.006531]
[0.000488 -0.006775]
[0.000427 -0.006531]
[0.000427 -0.006744]
[0.000549 -0.006744]
[0.000519 -0.006531]
[0.000366 -0.006592]
[0.000397 -0.006744]
[0.000519 -0.006775]
[0.000488 -0.006622]
[0.000458 -0.006714]
[0.000488 -0.006683]
[0.000397 -0.006592]
[0.000336 -0.006683]
[0.000397 -0.006805]
[0.000366 -0.006714]
[0.000580 -0.006653]
[0.000458 -0.006653]
[0.000488 -0.006714]
[0.000397 -0.006683]
[0.000427 -0.006561]
[0.000275 -0.006714]
[0.000366 -0.006592]
[0.000397 -0.006592]
[0.000427 -0.006622]
[0.000366 -0.006592]
[0.000427 -0.006592]
[0.000397 -0.006653]
[0.000488 -0.006592]
[0.000519 -0.006592]
[0.000488 -0.006653]
[0.000519 -0.006592]
[0.000610 -0.006348]
[0.000519 -0.006500]
[0.000366 -0.006592]
[0.000488 -0.006500]
[0.000641 -0.006683]
[0.000488 -0.006622]
[0.000427 -0.006531]
[0.000580 -0.006653]
[0.000458 -0.006500]
[0.000427 -0.006653]
[0.000336 -0.006592]
[0.000549 -0.006683]
